participant_id,sex,age,race,class_year,full_time,sleep_hours,study_hours_week,physical_activity_days,alcohol_drinks_week,food_insecure,breakfast_days_week,fast_food_freq_week,fruit_servings_week,veg_servings_week,milk_servings_week,soda_servings_week,breakfast_quality,diet_quality_overall,pre_test_meal,gpa,biology_test_score
1,female,20,hispanic,junior,1,5.86,10.38,2,4,0,4,3,2,1,13,11,good,good,home_made,3.51,89.96
2,female,18,white,junior,1,8.67,4.91,5,6,0,2,1,4,11,5,1,average,good,fast_food,2.98,80.24
3,female,19,white,freshman,1,9.25,17.65,2,5,0,1,2,2,2,5,6,good,average,fast_food,3.68,69.98
4,male,18,black,junior,1,8.03,7.06,2,0,0,5,0,1,7,12,8,average,average,fast_food,3.71,88.08
5,female,20,asian,sophomore,1,5.66,16.81,4,4,0,7,3,4,12,11,5,average,poor,fast_food,3.04,75.07
6,female,19,other,freshman,1,8.49,11.68,4,4,0,6,1,10,2,4,4,average,average,home_made,3.62,90.81
7,female,19,white,junior,1,6.87,17.3,0,2,0,7,0,11,13,1,9,average,average,restaurant,4.0,95.71
8,female,20,other,senior,1,6.24,11.82,5,1,0,5,3,8,12,7,2,poor,average,restaurant,3.39,87.22
9,female,18,white,freshman,1,5.87,16.92,4,1,0,0,5,2,12,5,7,good,good,restaurant,3.18,89.18
10,female,18,hispanic,sophomore,1,7.61,16.1,2,4,0,2,3,1,6,9,14,average,average,fast_food,3.19,76.54
11,male,18,other,senior,0,8.28,9.88,1,3,0,4,1,3,4,9,4,good,average,fast_food,3.52,97.56
12,male,19,other,freshman,0,6.75,11.6,4,2,1,5,3,0,9,9,7,average,average,restaurant,3.21,83.89
13,female,20,white,junior,1,8.89,11.52,2,0,0,5,1,4,4,4,19,good,average,home_made,3.05,90.13
14,female,20,white,senior,1,5.42,20.18,2,3,1,0,0,5,9,5,10,good,poor,restaurant,4.0,91.0
15,female,19,white,sophomore,1,5.51,22.63,2,3,0,1,1,11,10,13,2,average,good,home_made,3.92,100.0
16,female,21,white,senior,1,6.94,15.65,0,0,0,6,0,6,3,10,6,average,poor,fast_food,3.99,100.0
17,female,19,white,senior,1,8.52,13.39,3,2,0,1,1,6,7,8,8,average,good,fast_food,3.67,76.95
18,male,22,white,sophomore,0,6.82,7.76,4,3,0,2,0,1,5,8,11,good,poor,home_made,3.2,81.21
19,male,19,white,freshman,1,6.46,6.78,3,0,1,0,0,1,11,11,20,average,poor,fast_food,3.06,96.43
20,female,18,white,freshman,1,7.48,12.37,3,3,1,2,2,2,8,10,7,poor,average,restaurant,3.46,88.8
21,female,19,white,junior,1,7.63,19.65,2,3,0,1,0,8,8,1,1,poor,good,fast_food,4.0,87.76
22,male,19,other,sophomore,1,6.08,1.29,3,5,0,4,7,7,2,3,14,average,good,restaurant,2.5,69.97
23,female,20,white,freshman,1,5.98,17.76,5,3,1,7,4,3,9,8,19,poor,poor,home_made,3.4,98.12
24,male,22,white,junior,1,6.63,16.88,0,3,1,0,3,1,6,8,3,average,average,fast_food,3.26,88.5
25,male,20,other,freshman,1,7.85,14.95,0,2,0,3,0,6,11,8,0,average,average,fast_food,3.38,85.71
26,female,21,white,freshman,1,6.11,9.83,3,2,1,7,0,10,6,4,1,good,average,fast_food,3.39,73.49
27,female,21,hispanic,sophomore,1,7.7,9.56,2,0,0,6,1,0,6,4,0,average,good,fast_food,4.0,79.8
28,female,20,asian,sophomore,1,7.49,8.36,1,0,0,3,5,1,12,12,20,average,average,home_made,3.33,94.19
29,female,22,white,junior,1,8.28,0.0,4,2,0,7,2,0,5,13,13,good,good,home_made,3.61,84.67
30,female,19,white,junior,1,6.8,13.45,3,0,0,3,4,5,10,11,7,good,average,fast_food,3.23,88.96
31,female,19,hispanic,sophomore,1,7.7,21.85,2,1,0,3,0,2,8,9,3,poor,poor,home_made,4.0,90.88
32,female,18,white,freshman,1,6.59,13.95,5,3,0,2,0,11,5,5,18,average,good,home_made,2.98,100.0
33,female,19,white,junior,1,6.02,6.74,1,1,0,6,0,2,0,1,13,poor,poor,restaurant,3.71,80.43
34,female,18,other,senior,1,6.82,12.05,0,4,1,1,0,11,13,9,4,good,average,home_made,2.37,86.25
35,female,20,white,senior,1,9.21,21.18,0,2,0,4,0,11,9,0,0,average,average,home_made,4.0,100.0
36,female,19,other,freshman,1,5.49,5.41,2,5,0,5,4,13,6,6,13,average,average,fast_food,2.71,76.53
37,female,20,white,junior,1,6.78,7.16,3,0,0,2,0,6,9,11,15,average,poor,fast_food,2.67,97.88
38,female,20,white,sophomore,1,7.07,14.33,4,4,1,5,3,12,5,12,5,poor,good,restaurant,3.38,91.05
39,female,18,other,junior,1,7.3,16.3,2,6,0,4,0,5,12,2,20,poor,good,fast_food,4.0,86.47
40,female,23,white,senior,1,8.35,12.98,4,0,0,4,1,8,1,4,1,good,average,fast_food,3.97,86.1
41,female,19,white,sophomore,1,7.22,3.74,4,0,0,2,7,4,3,7,3,average,average,home_made,3.56,88.36
42,female,18,white,senior,1,7.09,8.66,1,3,0,6,3,7,10,1,12,average,poor,fast_food,3.63,84.55
43,female,19,white,junior,1,7.52,7.64,6,0,0,4,1,8,9,10,20,average,poor,fast_food,2.96,79.99
44,female,20,white,junior,1,7.15,4.42,6,3,0,6,0,0,13,2,6,average,good,home_made,3.84,85.38
45,female,18,other,junior,1,7.92,2.04,3,0,0,0,0,1,1,5,4,average,good,home_made,3.22,65.31
46,female,21,white,senior,1,7.66,9.09,4,3,1,1,0,7,6,1,0,average,average,home_made,2.62,93.7
47,female,20,white,freshman,1,7.0,6.89,2,2,0,0,2,6,3,7,13,poor,average,restaurant,3.05,95.73
48,male,19,other,sophomore,1,8.27,8.44,3,4,0,3,4,0,3,3,13,good,poor,restaurant,3.24,100.0
49,female,18,other,junior,1,9.36,3.09,2,0,0,7,2,9,11,2,17,average,average,fast_food,3.69,92.88
50,female,20,other,freshman,1,6.55,12.61,3,0,0,7,0,0,5,6,2,poor,good,fast_food,3.92,80.69
51,female,19,white,freshman,1,6.69,12.15,0,3,0,5,3,10,7,11,0,average,average,restaurant,4.0,95.15
52,female,18,white,junior,1,6.6,5.48,4,1,0,7,2,12,13,12,11,good,average,restaurant,4.0,81.86
53,female,20,white,senior,1,5.3,9.15,3,1,0,0,4,12,1,11,3,poor,average,fast_food,2.33,80.49
54,female,18,other,freshman,1,7.58,8.49,4,2,0,7,2,7,2,11,9,poor,average,home_made,3.33,86.08
55,female,19,white,junior,1,6.13,20.09,5,5,0,4,4,7,1,6,10,average,good,restaurant,3.51,92.12
56,male,18,white,junior,1,6.63,13.94,3,6,0,5,0,11,12,1,13,average,poor,fast_food,3.19,81.16
57,female,19,black,sophomore,1,5.35,16.75,3,4,0,4,1,10,9,5,15,poor,average,fast_food,3.46,77.56
58,female,19,white,sophomore,1,5.2,17.66,2,1,0,6,1,4,13,3,13,poor,average,fast_food,3.7,81.15
59,male,19,other,freshman,1,5.19,17.87,0,5,1,7,3,3,1,7,11,good,poor,home_made,3.99,83.84
60,female,19,white,freshman,1,6.93,14.54,3,5,0,6,1,7,1,8,4,average,good,home_made,3.6,88.55
61,male,19,hispanic,senior,1,9.51,0.0,5,0,0,1,0,5,6,11,11,good,average,restaurant,3.08,80.58
62,female,21,white,freshman,1,7.28,12.08,4,0,0,1,4,2,7,13,3,average,average,restaurant,2.82,98.54
63,female,20,white,freshman,1,6.84,13.77,2,3,0,1,2,6,13,7,3,poor,good,fast_food,2.63,84.65
64,female,20,other,freshman,1,6.45,6.64,1,0,0,0,2,3,0,9,0,poor,average,home_made,2.88,75.56
65,female,21,white,freshman,1,6.96,17.65,3,4,0,3,4,3,4,8,0,good,average,home_made,3.94,87.95
66,female,19,white,junior,1,6.62,10.68,4,0,0,7,3,12,1,2,2,poor,good,restaurant,3.55,84.47
67,female,20,white,freshman,1,8.27,9.84,2,0,0,0,0,11,7,6,10,average,good,fast_food,3.33,84.28
68,male,19,white,sophomore,1,7.82,25.02,4,0,1,0,1,3,10,12,19,good,good,restaurant,3.87,100.0
69,male,18,white,sophomore,1,7.8,10.2,4,4,0,2,0,2,9,0,17,poor,average,fast_food,2.92,74.74
70,female,21,hispanic,junior,1,8.01,15.78,1,2,1,3,0,12,3,10,11,good,good,fast_food,3.8,93.54
71,female,18,hispanic,junior,1,5.09,25.56,1,4,0,5,1,9,11,10,17,average,average,fast_food,3.6,99.16
72,female,23,white,freshman,1,6.51,17.72,2,4,0,4,6,11,10,11,3,average,average,fast_food,3.04,85.12
73,male,23,other,sophomore,1,8.09,6.95,6,3,0,1,2,10,1,1,6,average,average,fast_food,3.64,68.04
74,male,18,white,junior,1,6.61,2.23,3,0,0,3,5,5,3,9,13,poor,poor,restaurant,3.14,83.22
75,female,21,white,sophomore,1,5.84,1.6,5,4,0,2,0,5,4,12,14,poor,average,fast_food,2.35,77.9
76,female,18,hispanic,freshman,1,6.69,14.7,2,3,0,7,1,6,10,0,18,poor,poor,fast_food,4.0,78.81
77,male,20,white,freshman,1,6.52,14.75,1,5,1,4,2,7,1,0,2,good,average,restaurant,3.8,82.94
78,female,20,white,senior,1,7.99,9.65,2,0,0,5,1,4,10,1,13,average,average,home_made,3.82,83.1
79,female,18,white,freshman,1,7.57,13.31,4,1,0,1,2,13,5,1,4,poor,average,restaurant,2.41,100.0
80,female,20,white,freshman,0,7.08,11.1,3,0,0,1,0,11,3,8,16,good,average,home_made,3.27,86.07
81,female,21,other,sophomore,1,6.52,11.47,2,6,0,6,4,12,8,13,15,average,average,restaurant,3.74,79.07
82,female,20,other,sophomore,1,8.03,20.54,5,0,0,1,1,11,3,0,15,average,average,fast_food,3.29,100.0
83,male,22,white,junior,0,6.98,8.35,4,4,0,6,3,4,12,10,3,poor,average,home_made,2.96,77.68
84,female,19,white,senior,1,6.78,5.67,2,5,0,1,0,3,10,6,15,good,average,restaurant,3.57,61.17
85,male,22,white,freshman,1,7.01,13.82,7,1,1,1,1,3,6,2,2,average,average,fast_food,3.49,87.87
86,female,20,other,sophomore,1,6.28,24.26,4,2,0,2,3,5,3,8,2,poor,average,restaurant,2.96,96.91
87,female,18,other,junior,1,7.89,7.05,2,2,0,5,4,13,11,4,8,good,poor,restaurant,3.97,93.4
88,female,20,hispanic,junior,1,7.94,10.97,3,2,0,4,0,10,1,8,14,good,average,restaurant,4.0,95.83
89,female,22,other,sophomore,1,5.89,9.37,3,3,0,4,3,2,1,9,15,poor,average,home_made,3.79,96.23
90,female,20,white,freshman,1,8.1,14.65,0,1,1,2,2,0,8,10,8,average,average,restaurant,2.25,84.35
91,male,20,hispanic,freshman,1,7.53,11.25,2,1,0,6,1,10,11,10,4,poor,average,restaurant,4.0,89.61
92,female,20,white,junior,0,7.27,14.1,4,5,1,3,0,3,3,3,18,average,poor,fast_food,2.75,81.29
93,female,18,white,junior,1,7.26,6.98,3,0,1,1,3,8,12,10,5,average,average,home_made,3.2,94.08
94,female,22,white,junior,0,6.44,11.12,4,2,0,0,2,5,4,0,14,good,average,restaurant,2.96,86.63
95,female,22,white,freshman,1,7.07,1.97,3,0,1,7,3,2,7,5,17,poor,good,restaurant,3.62,81.21
96,male,22,white,sophomore,1,5.66,0.0,7,1,0,5,0,2,1,0,14,average,good,fast_food,3.73,79.11
97,female,20,white,junior,1,7.19,9.72,2,4,0,3,0,8,6,12,19,average,average,fast_food,3.55,91.06
98,female,20,white,junior,1,7.11,13.4,2,3,0,6,0,7,5,12,0,poor,average,restaurant,4.0,100.0
99,female,19,other,junior,1,6.08,7.49,2,2,1,2,2,12,2,7,14,average,average,fast_food,3.05,83.18
100,female,22,hispanic,freshman,1,6.93,19.56,2,0,0,6,1,5,7,0,4,average,poor,fast_food,4.0,89.54
101,female,21,white,freshman,1,5.81,10.6,7,2,0,7,3,8,12,8,0,average,average,home_made,3.63,89.26
102,male,18,white,junior,1,7.23,8.94,2,0,0,0,2,6,12,11,6,poor,average,fast_food,2.48,84.78
103,male,19,white,junior,1,7.26,15.31,3,2,0,6,4,13,2,9,15,good,average,home_made,2.57,85.55
104,female,20,white,sophomore,1,8.52,13.29,5,1,0,4,0,0,12,12,0,average,good,fast_food,4.0,93.97
105,female,19,white,freshman,1,7.95,5.91,2,0,0,2,5,5,12,4,7,average,average,home_made,3.49,77.75
106,female,21,hispanic,senior,1,6.97,5.0,6,1,0,2,2,1,7,5,12,poor,average,restaurant,3.27,68.31
107,female,22,white,junior,0,5.43,30.86,4,3,0,5,0,11,3,7,1,poor,average,fast_food,3.64,97.18
108,female,22,other,freshman,1,9.18,18.64,2,8,1,3,3,8,10,6,13,poor,poor,restaurant,3.09,72.81
109,male,21,hispanic,junior,1,8.34,10.11,4,0,0,5,4,9,11,5,19,average,average,fast_food,3.65,98.56
110,female,18,hispanic,freshman,1,6.71,16.35,3,6,1,2,6,9,1,13,6,poor,good,restaurant,2.26,94.1
111,female,21,other,freshman,1,6.77,13.57,4,0,0,2,0,6,1,1,20,poor,average,home_made,3.05,98.22
112,female,18,white,junior,1,5.85,23.01,2,4,1,7,0,12,6,1,19,poor,average,fast_food,4.0,86.83
113,female,19,white,junior,1,6.12,13.34,2,3,0,2,8,7,13,11,0,average,average,restaurant,2.56,87.52
114,female,19,hispanic,junior,0,5.8,14.19,7,0,0,7,3,4,2,7,0,good,average,home_made,3.76,81.33
115,male,19,other,junior,1,5.91,23.56,4,5,0,2,1,4,8,9,19,average,good,restaurant,3.32,94.04
116,female,20,asian,sophomore,1,4.9,3.83,2,2,0,4,0,1,11,4,18,good,average,restaurant,3.51,71.05
117,male,21,hispanic,freshman,1,7.81,19.7,2,0,0,4,2,10,2,5,15,average,average,restaurant,4.0,91.36
118,female,20,white,senior,1,7.91,2.64,4,1,0,3,8,3,4,9,1,average,good,fast_food,2.63,88.34
119,female,18,white,sophomore,1,8.64,18.6,1,0,0,6,3,3,8,5,2,good,poor,fast_food,3.54,99.47
120,male,20,black,senior,1,6.89,1.03,4,3,1,7,1,2,2,7,16,poor,poor,fast_food,3.14,67.39
121,female,21,white,sophomore,1,5.66,9.92,3,2,0,0,0,2,10,11,20,average,average,home_made,2.97,100.0
122,female,21,hispanic,freshman,1,8.11,11.26,0,0,0,1,2,8,7,8,10,average,poor,home_made,2.5,75.89
123,female,19,white,freshman,1,8.46,13.98,1,4,0,6,1,5,12,9,10,average,average,home_made,3.86,100.0
124,female,19,white,senior,1,5.49,12.67,3,0,0,3,2,9,3,10,13,average,average,restaurant,2.84,84.06
125,female,19,asian,freshman,1,5.2,9.95,2,6,0,5,0,0,2,12,14,poor,average,home_made,3.9,69.94
126,female,21,white,senior,1,5.41,0.0,3,3,0,5,5,9,5,13,1,average,good,home_made,2.28,71.69
127,male,18,white,freshman,1,6.66,21.09,1,0,0,0,6,8,5,13,15,good,average,fast_food,2.34,98.39
128,female,19,white,sophomore,1,5.52,10.24,2,0,0,0,4,9,3,0,0,average,average,home_made,3.12,96.78
129,female,22,white,junior,1,8.45,12.69,4,1,1,3,4,7,2,3,20,good,average,fast_food,3.01,86.52
130,male,19,white,sophomore,1,6.36,5.77,2,3,1,2,0,5,9,1,1,poor,good,home_made,3.32,76.33
131,male,22,white,freshman,1,6.21,17.18,1,0,0,6,3,8,9,4,11,average,good,home_made,3.55,100.0
132,female,21,white,sophomore,1,8.45,4.26,2,4,0,3,2,5,10,0,11,poor,average,fast_food,2.73,72.11
133,female,18,white,sophomore,1,6.02,10.68,3,3,1,6,3,2,8,8,2,average,good,home_made,2.69,81.52
134,female,18,white,freshman,1,7.76,6.08,3,1,0,1,0,11,8,12,11,average,good,restaurant,3.0,85.42
135,female,22,black,sophomore,1,6.37,14.57,3,0,0,2,4,13,10,13,15,good,poor,home_made,2.75,94.66
136,female,18,white,freshman,1,6.66,10.99,2,0,0,5,3,13,5,3,2,good,average,home_made,4.0,81.48
137,female,19,black,freshman,1,4.74,15.24,4,5,0,0,3,11,1,3,0,poor,poor,restaurant,3.16,98.05
138,male,20,black,sophomore,1,6.26,10.95,4,0,0,7,1,13,5,6,11,good,average,fast_food,3.7,88.06
139,female,20,other,freshman,1,7.77,5.2,0,2,0,3,2,6,13,12,14,poor,average,restaurant,3.62,81.75
140,female,22,other,junior,1,7.65,21.66,7,0,0,0,2,3,7,8,3,poor,average,home_made,3.52,94.96
141,female,18,other,freshman,1,7.03,11.2,5,5,1,4,2,7,9,13,14,average,average,fast_food,3.85,72.02
142,female,20,white,senior,1,7.79,14.1,3,3,0,5,10,4,6,6,10,average,poor,restaurant,2.56,91.01
143,female,21,hispanic,junior,1,8.39,11.66,3,0,1,2,0,6,13,2,20,average,good,fast_food,3.69,100.0
144,female,19,white,sophomore,1,6.4,5.76,3,0,0,5,3,13,2,6,4,poor,average,restaurant,3.72,79.51
145,male,18,white,senior,1,8.8,17.46,5,2,0,5,3,1,1,7,1,good,good,home_made,3.62,100.0
146,female,19,white,junior,1,6.22,8.07,2,2,1,3,0,13,5,2,7,average,average,restaurant,2.72,88.5
147,male,18,hispanic,freshman,1,5.02,16.0,2,0,0,6,2,4,3,5,8,poor,average,fast_food,4.0,81.1
148,female,20,white,junior,1,6.45,12.87,3,1,1,7,0,11,0,10,8,poor,good,fast_food,3.56,85.64
149,male,21,white,junior,0,6.58,13.99,0,2,0,2,1,2,10,2,2,poor,poor,fast_food,3.81,93.91
150,female,19,other,senior,1,6.9,7.62,0,2,0,1,0,12,8,8,4,average,average,restaurant,2.83,82.0
151,female,21,white,senior,1,7.43,0.0,3,5,0,1,0,3,2,5,10,poor,good,home_made,2.81,72.79
152,male,18,other,freshman,1,7.27,13.6,4,1,1,4,1,8,12,3,18,average,poor,restaurant,3.43,95.82
153,female,18,white,freshman,1,4.99,10.48,0,1,0,4,0,12,11,1,10,average,average,restaurant,3.25,80.55
154,female,21,white,sophomore,1,6.95,5.67,1,8,0,6,1,7,1,13,15,good,good,fast_food,2.72,66.03
155,female,19,white,sophomore,1,5.46,9.84,1,0,1,1,2,13,3,5,12,good,average,home_made,3.5,75.06
156,female,20,white,junior,1,7.45,22.94,4,3,0,0,0,12,8,1,5,poor,poor,fast_food,3.87,100.0
157,female,18,other,freshman,1,7.32,15.69,5,4,1,1,1,13,1,7,20,average,average,home_made,3.43,100.0
158,female,18,white,senior,1,8.43,14.87,4,0,0,1,1,8,6,12,9,average,poor,restaurant,3.25,94.32
159,male,21,white,freshman,1,5.52,13.62,3,1,1,3,3,10,13,2,19,average,poor,fast_food,2.54,83.63
160,female,20,hispanic,junior,1,9.1,10.79,3,0,0,2,2,8,10,2,12,average,poor,fast_food,3.65,83.62
161,male,20,white,senior,1,7.65,9.95,4,5,0,0,1,11,6,12,18,average,good,home_made,4.0,68.79
162,male,20,white,senior,1,5.55,12.06,4,1,1,1,2,2,0,2,13,good,good,restaurant,2.93,60.9
163,male,21,white,senior,1,7.02,4.0,2,1,0,4,4,2,8,12,16,good,poor,home_made,3.2,81.29
164,female,19,hispanic,sophomore,1,7.74,14.04,0,0,0,2,0,8,13,3,11,good,average,fast_food,3.84,90.15
165,female,18,white,sophomore,1,8.35,11.99,6,0,0,5,0,8,12,3,8,average,good,restaurant,4.0,84.62
166,male,18,hispanic,senior,1,7.76,11.5,0,3,1,5,2,3,6,13,14,poor,average,restaurant,3.0,73.23
167,female,20,other,junior,1,6.88,7.38,6,0,0,3,1,10,3,11,6,average,good,fast_food,3.11,82.22
168,male,20,hispanic,freshman,1,9.23,18.96,3,1,0,4,3,7,6,12,9,poor,good,fast_food,3.04,85.86
169,female,19,white,sophomore,1,6.93,18.19,4,1,0,3,1,2,5,5,6,poor,average,restaurant,3.83,94.45
170,female,21,white,junior,1,5.12,17.65,4,0,1,1,2,8,4,1,4,average,average,home_made,3.0,82.54
171,female,19,white,junior,1,6.37,13.67,3,0,0,3,2,10,8,9,18,average,good,restaurant,2.96,80.87
172,female,18,other,freshman,1,8.16,9.68,4,1,0,5,1,9,13,5,5,average,average,fast_food,4.0,85.24
173,female,21,white,junior,1,7.25,8.77,2,5,0,4,0,8,6,8,20,average,average,restaurant,3.22,84.04
174,male,19,white,sophomore,1,6.83,15.99,4,5,0,0,4,4,8,12,2,average,good,home_made,2.16,92.73
175,female,20,white,freshman,1,6.25,19.36,0,2,0,5,6,11,8,13,12,good,average,restaurant,2.12,93.84
176,female,18,white,freshman,1,7.25,10.74,5,5,0,2,2,9,5,1,11,average,average,home_made,2.82,81.74
177,female,18,black,freshman,1,6.74,4.25,0,2,1,7,7,0,9,3,2,average,poor,restaurant,3.34,75.73
178,female,19,white,junior,1,5.68,14.73,1,3,0,2,3,5,11,1,18,good,good,fast_food,2.79,75.84
179,female,23,hispanic,senior,1,6.25,13.82,4,0,1,0,1,2,12,8,11,average,average,restaurant,3.49,89.8
180,female,20,white,sophomore,1,7.02,12.63,6,2,0,2,1,11,9,4,1,average,average,restaurant,2.95,100.0
181,female,19,white,freshman,1,8.21,3.2,4,0,1,3,3,1,8,8,0,average,average,restaurant,3.49,82.65
182,female,19,white,freshman,1,8.02,11.44,0,2,0,3,2,11,6,12,9,poor,good,home_made,3.33,84.85
183,female,20,other,junior,1,7.85,18.76,3,3,0,7,0,8,9,1,3,average,good,restaurant,4.0,84.21
184,female,20,other,sophomore,1,7.47,9.43,2,2,1,7,1,6,7,11,17,poor,average,home_made,3.77,89.94
185,female,21,white,freshman,0,6.76,10.09,3,2,0,1,2,9,1,8,9,average,poor,fast_food,3.32,95.38
186,female,22,white,freshman,1,8.02,10.39,6,1,1,4,2,11,9,11,8,good,average,restaurant,3.43,86.03
187,female,19,white,freshman,1,6.25,12.44,4,0,1,4,5,6,8,10,11,poor,average,fast_food,2.66,84.55
188,female,23,white,junior,1,5.83,6.14,2,3,1,3,2,7,3,1,2,average,good,fast_food,3.61,75.4
189,female,18,white,junior,1,6.66,7.56,0,4,1,2,5,9,11,8,16,good,average,fast_food,2.39,68.76
190,female,20,white,junior,1,8.25,11.4,0,5,0,2,6,7,5,4,8,good,good,restaurant,2.99,90.98
191,female,19,hispanic,freshman,1,6.0,18.67,3,1,0,7,2,13,13,3,3,average,average,home_made,3.63,74.74
